id,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,lane_kf,type_most_common,vAlpha0_ped,tauAlpha_ped,A_pp,B_pp,A_wall,B_wall,m_gamma,tau_gamma,v_gamma0,a_gamma_max,b_gamma,eta_gamma,mu_gamma,eps_m,A_w,B_w,A_s,B_s,T_i
8828,0.527014854,0.000573469,0.023947223,0.013870319,0.024484993,0.000873562,0.897479726,0.999996047,0.527014854,1,0,1.358,0.5,2924.630032,1.779241454,1461.400884,0.772260728,200,0.5,3.073,4,4,0.3,1.2,3.134249392,2431.933021,0.753543138,2541.412278,0.580973363,0.97
8829,0.940373831,0.000253628,0.015925687,0.0091354,0.013241104,0.000595632,0.063406878,0.999998696,0.940373831,40,0,1.358,0.5,2731.790839,1.899321505,2662.075139,0.638716702,200,0.5,3.073,4,4,0.3,1.2,0.684957419,2850.886809,0.504460326,771.0259469,1.134734682,0.97
8810,0.451194673,0.000556167,0.023583203,0.013565508,0.024144764,0.000859003,1.216338224,0.999996143,0.451194673,39,0,1.358,0.5,2725.849353,1.809705148,1596.073324,0.34307372,200,0.5,3.073,4,4,0.3,1.2,3.260544699,1263.561465,0.813687588,2187.138856,0.317166686,0.97
8812,0.945776502,0.000269166,0.016406264,0.00956017,0.013738426,0.000613779,0.057332253,0.999998571,0.945776502,39,0,1.358,0.5,2953.278956,1.804838701,2370.905379,0.864212364,200,0.5,3.073,4,4,0.3,1.2,0.527127163,1180.330915,1.209373135,902.8510293,1.241074697,0.97
8830,0.477021371,0.000579462,0.024072017,0.013964407,0.024699183,0.000878115,1.096342136,0.999995937,0.477021371,1,0,1.358,0.5,2969.065926,1.576191883,1359.756492,0.823998168,200,0.5,3.073,4,4,0.3,1.2,4.232811968,1662.260571,1.486158253,682.8356766,0.277936007,0.97
8831,0.51440563,0.000601268,0.024520772,0.014322256,0.025368357,0.000896294,0.943991164,0.999995764,0.51440563,40,0,1.358,0.5,2992.446575,1.833766663,1875.06694,1.354900031,200,0.5,3.073,4,4,0.3,1.2,1.044702415,1437.67683,0.463055627,2931.208383,0.488288845,0.97
8825,0.491124349,0.000559473,0.023653184,0.013641459,0.024344792,0.000910598,1.03614421,0.999995913,0.491124349,40,0,1.358,0.5,2392.190936,1.754805627,1887.142819,1.084591436,200,0.5,3.073,4,4,0.3,1.2,0.573101272,2517.821696,1.563115557,2542.241146,1.21747004,0.97
8833,0.454942653,0.00057297,0.023936781,0.013829215,0.024888583,0.000917669,1.198079238,0.999995807,0.454942653,40,0,1.358,0.5,2575.894562,1.89792119,618.7072579,0.804825255,200,0.5,3.073,4,4,0.3,1.2,0.726122169,2014.885412,0.434883394,1472.174761,0.438172047,0.97
8834,0.560854527,0.000605095,0.024598688,0.014383919,0.025759811,0.000960104,0.782993542,0.999995431,0.560854527,1,0,1.358,0.5,2632.053098,1.857026421,1661.398948,0.959533126,200,0.5,3.073,4,4,0.3,1.2,2.862783174,1814.465955,1.374652709,2700.853675,1.171197217,0.97
8818,0.576616166,0.000572296,0.023922711,0.013825329,0.025612931,0.00093372,0.734255922,0.999995668,0.576616166,39,0,1.358,0.5,2656.527141,1.45341509,2027.876138,0.718240438,200,0.5,3.073,4,4,0.3,1.2,1.75222732,2215.491058,1.426461091,1847.149084,1.324837251,0.97
8832,0.570442644,0.000651969,0.025533691,0.015096486,0.026884028,0.000997084,0.75302462,0.999995057,0.570442644,39,0,1.358,0.5,2906.415023,1.794182881,1322.296869,0.088616666,200,0.5,3.073,4,4,0.3,1.2,1.127412287,2992.82064,1.555893159,1838.569479,1.564540768,0.97
8835,0.525258387,0.000586138,0.024210289,0.014057542,0.025633768,0.000933662,0.903824906,0.999995591,0.525258387,40,0,1.358,0.5,2790.082485,1.400361819,2280.916707,0.541815134,200,0.5,3.073,4,4,0.3,1.2,1.536004357,2153.598847,1.580918859,1061.061774,1.385330885,0.97
